"iso","ts_articles","n_events","total_deaths","total_injured","total_affected","dominant_type","dominant_share","region","gdp_2023","population_2023","democracy_vdem","gdp_pc_2023","dist_to_germany"
"AFG",15,16,4419,49495,3398395,"Flood",0.375,"South Asia",17152.2346368715,41.454761,0.016,413.757894705303,4644.08819064891
"AGO",0,2,759,0,2800000,"Drought",0.5,"Sub-Saharan Africa",107167.747140127,36.749906,0.157,2916.13663284273,7063.12109535095
"ALB",2,2,2,0,840,"Storm",1,"Europe & Central Asia",23491.2427274082,2.414095,0.398,9730.86921906893,1368.90381951465
"ARE",0,2,4,0,346,"Flood",1,"Middle East & North Africa",522622.191967325,10.483751,0.079,49850.6872175164,4659.40102244158
"ARG",3,7,136,806,1042406,"Flood",0.428571428571429,"Latin America & Caribbean",649461.687959174,45.538401,0.695,14261.8465667948,12586.5623748086
"ARM",0,2,8,0,20429,"Flood",0.5,"Europe & Central Asia",24185.9822156543,2.9643,0.419,8159.08720967996,2770.4073488443
"AUS",12,7,10,21,61040,"Storm",0.428571428571429,"East Asia & Pacific",1734451.2646556,26.659922,0.804,65058.3773146673,14467.8426916479
"AUT",12,2,1060,0,2220,"Extreme temperature",0.5,"Europe & Central Asia",516670.509628876,9.131761,0.777,56579.504175468,549.969769959501
"AZO",0,1,0,0,600,"Storm",1,NA,NA,NA,NA,NA,NA
"BDI",0,3,29,180,241373,"Epidemic",0.333333333333333,"Sub-Saharan Africa",3430.94924991221,13.68945,0.063,250.627253097254,6380.10733176428
"BEL",0,1,249,0,0,"Extreme temperature",1,"Europe & Central Asia",651330.595110011,11.779946,0.816,55291.4754541329,637.065600460758
"BEN",0,3,37,9,35429,"Flood",0.333333333333333,"Sub-Saharan Africa",19673.2910041444,14.111034,0.321,1394.17784721831,4866.318262805
"BFA",0,2,10,3050,10734,"Epidemic",0.5,"Sub-Saharan Africa",20112.6144492039,23.025776,0.182,873.482589651002,4706.43035245156
"BGD",2,15,229,852,48806933,"Flood",0.333333333333333,"South Asia",437415.333018291,171.46699,0.096,2551.01773827307,7105.02035553822
"BGR",0,2,3418,0,100,"Extreme temperature",0.5,"Europe & Central Asia",102199.231384542,6.446596,0.585,15853.2086367041,1398.91843488454
"BHS",3,2,0,0,2600,"Storm",1,"Latin America & Caribbean",15271.3,0.39944,NA,38231.774484278,7871.70426858489
"BIH",0,6,965,1779,9779,"Flood",0.333333333333333,"Europe & Central Asia",27592.3614984057,3.185073,0.337,8663.02326458631,1003.45633013157
"BLZ",0,2,0,0,962,"Storm",0.5,"Latin America & Caribbean",3052.36265,0.411106,NA,7424.75821321022,9262.93392881363
"BMU",0,1,0,0,0,"Storm",1,"North America",8579.242,0.064698,NA,132604.439086216,6459.22720695119
"BOL",1,19,333,321,5192146,"Road",0.473684210526316,"Latin America & Caribbean",52340.2069464544,12.244159,0.345,4274.70820547613,10722.7739038268
"BRA",13,31,533,2001,2640823,"Flood",0.290322580645161,"Latin America & Caribbean",2191131.86970602,211.140729,0.698,10377.5897719195,9489.77223747558
"BRB",1,1,0,0,2500,"Storm",1,"Latin America & Caribbean",7223.25,0.282336,0.675,25583.878782727,7708.14397988872
"BWA",0,3,9,0,332000,"Drought",0.333333333333333,"Sub-Saharan Africa",19411.2669671044,2.480244,0.439,7826.35376483298,8424.10893121496
"CAF",0,4,78,69,5269,"Flood",0.5,"Sub-Saharan Africa",2555.49208594725,5.152421,0.104,495.978897288721,5170.08701473519
"CAN",2,8,3,25,3916,"Storm",0.625,"North America",2173339.67006433,40.083484,0.746,54220.3285039876,5395.65608776891
"CHE",12,3,370,0,0,"Extreme temperature",0.333333333333333,"Europe & Central Asia",894424.821645205,8.888822,0.841,100623.549627297,740.224988337853
"CHL",1,7,138,1262,111282,"Wildfire",0.571428571428571,"Latin America & Caribbean",335518.054097637,19.658835,0.781,17067.0364799154,13561.5967099335
"CHN",22,47,1005,600,611644,"Storm",0.25531914893617,"East Asia & Pacific",18270356.6545332,1410.71,0.036,12951.1782397043,7210.50070684343
"CIV",0,9,128,287,514,"Road",0.444444444444444,"Sub-Saharan Africa",80780.3125691646,31.165654,0.244,2591.9659048119,5256.21694710644
"CMR",0,3,65,18,500018,"Flood",0.333333333333333,"Sub-Saharan Africa",48814.5015474313,28.372687,0.129,1720.47510154506,5149.68844469254
"COD",1,18,1074,415,2775755,"Flood",0.388888888888889,"Sub-Saharan Africa",69843.6554252929,105.789731,0.132,660.21205238997,6424.31314078618
"COG",1,2,23,55,1861555,"Flood",0.5,"Sub-Saharan Africa",15321.0558225167,6.182885,0.122,2477.97845544866,5972.02628980926
"COL",2,14,234,95,1836801,"Storm",0.285714285714286,"Latin America & Caribbean",366291.836137916,52.321152,0.571,7000.83660501046,9452.65904070015
"COM",0,4,193,10347,74502,"Water",0.5,"Sub-Saharan Africa",1326.83654300797,0.850387,0.103,1560.27378476855,7751.47353698426
"CPV",0,2,19,0,123002,"Epidemic",0.5,"Sub-Saharan Africa",2504.52554871164,0.522331,0.651,4794.90121917259,5210.88239926196
"CRI",0,3,8,0,1102086,"Storm",0.666666666666667,"Latin America & Caribbean",86497.9414390174,5.105525,0.805,16942.0268119375,9656.47923055626
"CUB",8,7,13,24,6796024,"Storm",0.857142857142857,"Latin America & Caribbean",NA,11.019931,0.055,NA,8293.70085043715
"CYP",1,3,220,27,1068,"Extreme temperature",0.333333333333333,"Europe & Central Asia",35075.4238570996,1.344976,0.645,26078.847397351,2501.46330208169
"CZE",0,2,557,0,250000,"Extreme temperature",0.5,"Europe & Central Asia",345059.295659911,10.864042,0.801,31761.5944102491,325.438004436975
"DEU",2,2,6294,9,3407,"Extreme temperature",0.5,"Europe & Central Asia",4562207.53249028,83.287273,0.812,54776.7668235491,253.11498145413
"DJI",0,3,236,0,137,"Water",1,"Middle East & North Africa",3898.44700738798,1.152944,0.121,3381.29779710721,5236.28974078037
"DNK",0,1,174,0,0,"Extreme temperature",1,"Europe & Central Asia",404651.706117557,5.946952,0.884,68043.5466971243,395.059342316142
"DOM",0,5,242,11,1307248,"Storm",0.6,"Latin America & Caribbean",120456.239153739,11.331265,0.431,10630.431743829,7960.28551366778
"DZA",0,6,110,143,14044,"Flood",0.5,"Middle East & North Africa",247923.887214655,46.164219,0.115,5370.47723507799,2763.25705582465
"ECU",1,8,161,346,971217,"Road",0.25,"Latin America & Caribbean",121147.057,17.980083,0.46,6737.84748379638,10504.446550336
"EGY",0,4,41,33,4033,"Road",0.75,"Middle East & North Africa",395926.075163006,114.535772,0.128,3456.78968456253,3118.51230315908
"ESP",35,11,7067,46,63661,"Storm",0.363636363636364,"Europe & Central Asia",1619481.98071964,48.352528,0.763,33493.2225409112,1806.66757058432
"EST",0,1,85,0,0,"Extreme temperature",1,"Europe & Central Asia",41470.3443951086,1.370286,0.849,30264.0064885058,970.046814303786
"ETH",3,13,470,431,378038,"Earthquake",0.153846153846154,"Sub-Saharan Africa",135874.093202492,128.691692,0.109,1055.81091592526,5347.65314637594
"FIN",0,1,152,0,0,"Extreme temperature",1,"Europe & Central Asia",295021.98246275,5.583911,0.825,52834.2916752703,1422.52023777017
"FJI",1,NA,NA,NA,NA,NA,NA,"East Asia & Pacific",5476.67351813788,0.924145,0.415,5926.20586394763,10056.7805085913
"FRA",9,9,2473,31,11454,"Flood",0.333333333333333,"Europe & Central Asia",3056250.64813829,68.372286,0.81,44700.1384177544,1020.50581017329
"FSM",0,1,0,0,113401,"Drought",1,"East Asia & Pacific",441.4694,0.11263,NA,3919.64307910859,NA
"GAB",0,1,0,0,13400,"Flood",1,"Sub-Saharan Africa",19388.3720709778,2.484789,0.189,7802.82433276137,5944.88190787306
"GBR",1,3,578,0,2805,"Storm",0.666666666666667,"Europe & Central Asia",3420796.65378908,68.492,0.768,49944.4702124201,1189.50138991523
"GEO",0,4,35,0,48870,"Air",0.25,"Europe & Central Asia",30777.8336006515,3.715483,0.454,8283.66960652263,2551.79364224814
"GHA",0,1,15,0,0,"Water",1,"Sub-Saharan Africa",80547.1468783843,33.787914,0.561,2383.90410483418,5092.39802038169
"GIN",5,6,72,1062,176062,"Road",0.5,"Sub-Saharan Africa",22407.6155560571,14.405468,0.08,1555.49375806861,5196.14967424606
"GMB",0,1,8,67,10767,"Flood",1,"Sub-Saharan Africa",2382.26218468273,2.697845,0.517,883.02411171981,5051.91649396393
"GNB",0,3,0,0,3691,"Fire (Miscellaneous)",0.666666666666667,"Sub-Saharan Africa",2127.68818112014,2.153339,0.242,988.087886357021,5225.5351990592
"GNQ",0,1,0,0,23155,"Flood",1,"Sub-Saharan Africa",12337.550583754,1.847549,0.053,6677.79343538602,5625.83807018896
"GRC",14,6,6054,0,900,"Water",0.333333333333333,"Europe & Central Asia",242946.187738269,10.407351,0.584,23343.7103964562,1774.02618703986
"GRD",0,2,8,27,112027,"Drought",0.5,"Latin America & Caribbean",1336.41851851852,0.117081,NA,11414.4781691181,7946.38487626626
"GTM",0,10,88,277,704801,"Storm",0.3,"Latin America & Caribbean",104368.755054601,18.124838,0.303,5758.32760847854,9537.7604051847
"HKG",0,4,151,195,195,"Storm",0.5,"East Asia & Pacific",381043.026173935,7.5361,0.124,50562.3633144378,7210.50070684343
"HND",0,7,50,12,243872,"Storm",0.428571428571429,"Latin America & Caribbean",34355.8055279795,10.644851,0.392,3227.45762509776,9356.67706736137
